Eje X,Eje Y,Eje Z
89,-9,33
49,0,-86
-90,-13,-20
-34,-31,48
85,-31,56
55,-1,-88
-79,-12,-30
-43,-24,41
74,-34,65
64,9,-87
-87,-8,-39
-53,-28,44
78,-42,55
37,-29,-73
-91,-2,-18
-46,-20,43
68,-24,75
74,24,-63
-85,-9,-29
-65,-19,46
59,-35,59
75,20,-69
-74,19,-43
-56,-18,46
75,-24,82
80,-17,-66
-82,7,-56
-87,-13,22
49,-32,72
103,20,-68
-65,7,-62
-82,-18,29
38,-37,83
110,21,-55
-63,11,-69
-76,-19,18
45,-23,55
88,-1,-10
-39,-26,-81
-82,-27,11
2,-31,62
102,-19,15
21,-4,-66
-83,-11,-18
-61,-13,36
72,-29,70
66,12,-60
-64,-1,-56
-70,-12,12
39,-25,76
108,-21,-29
-45,-20,-53
-86,17,2
-3,-24,52
93,-35,13
-22,-5,-64
-90,7,-18
-38,-29,40
105,-60,71
28,-15,-93
-83,6,-42
-59,-9,45
81,-30,52
57,-6,-97
-80,-5,-34
-67,-18,47
75,-54,73
85,54,-83
-76,4,-41
-74,-22,27
64,-32,73
70,13,-69
-79,4,-43
-66,-22,36
81,-78,72
76,13,-106
-83,21,-39
-68,-32,42
73,-36,83
92,85,-73
-90,7,-46
-80,-3,22
44,-35,65
129,-10,-48
-45,-9,-74
-102,19,5
49,-80,86
118,-8,-43
-49,-6,-67
-85,-24,17
46,-57,85
114,5,-53
-65,-10,-79
-99,-15,20
18,-61,79
119,-18,-54
-61,-29,-84
-98,-10,16
26,-52,68
153,-17,-9
-51,-16,-88
-103,-23,1
10,-50,88
98,37,29
-2,-42,-104
-101,-16,-8
-13,-41,61
118,-17,38
-18,-11,-96
-97,-16,-21
-11,-54,52
102,-23,40
17,11,-79
-96,-4,-48
-57,-53,49
92,-30,87
70,3,-82
-80,0,-50
-74,-31,41
57,-33,78
108,39,-59
-69,0,-59
-88,-18,28
64,-63,81
103,23,-60
-66,10,-64
-90,-16,24
53,-46,84
114,-7,-30
-41,-9,-75
-98,-27,4
6,-49,66
141,-17,-28
-47,-4,-79
-102,-2,0
13,-77,80
129,-22,-4
-26,-24,-99
-105,0,-15
-26,-48,66
115,-55,13
5,-22,-110
-115,8,0
-28,-30,57
128,-10,38
4,-9,-90
-111,-2,-26
-49,-36,44
104,-21,52
42,27,-93
-90,-13,-34
-74,-28,47
76,-42,69
93,37,-76
-71,9,-63
-101,21,10
52,-96,106
112,-6,-66
-59,0,-66
-95,-13,17
31,-45,81
133,-79,-55
-65,30,-56
-83,6,7
23,-46,69
111,4,-30
-42,-12,-70
-93,-8,4
-1,-51,62
131,-34,4
-18,-13,-89
-90,-1,1
-11,-52,54
119,-6,29
-2,-33,-95
-102,-7,-19
-41,-34,57
117,-37,53
32,-6,-108
-104,-24,-18
-34,-31,48
126,-40,40
22,-2,-112
-93,-36,-19
-30,-40,63
131,-36,38
44,-74,-99
-113,3,-5
-48,-39,59
116,-31,72
24,21,-96
-109,0,-34
-53,-40,48
90,-23,61
45,-1,-100
-94,-14,-34
-59,-36,49
85,-29,32
69,38,-67
-87,1,-29
-64,-26,41
95,-53,57
44,8,-100
-104,22,-31
-47,-36,51
96,-15,55
34,-19,-101
-85,4,-23
-53,-45,44
84,-31,74
61,20,-78
-83,5,-41
-67,-26,38
52,-28,77
79,59,-44
-50,6,-63
-93,-29,30
40,-48,74
148,-11,-58
-52,-17,-66
-89,-10,21
39,-53,89
112,-8,-82
-86,10,-69
-90,-4,25
40,-35,91
113,20,-57
-66,2,-69
-100,-31,30
51,-43,76
131,21,-43
-64,-11,-68
-93,-39,22
35,-32,99
139,44,-57
-60,-12,-80
-93,-24,24
11,-17,107
120,54,-24
-30,4,-86
-85,-19,-11
20,-50,90
129,-6,-12
-41,-32,-78
-97,-47,13
49,-41,94
123,42,-52
-57,0,-67
-90,-41,16
17,-60,93
131,-14,-64
-68,-10,-71
-103,-47,38
62,-50,79
103,27,-64
-53,-3,-78
-96,-20,13
39,-64,96
123,-15,-63
-52,-11,-79
-100,-12,8
15,-56,81
110,-25,-35
-23,-32,-96
-98,-22,13
18,-59,83
131,3,-29
-32,-11,-84
-110,4,-5
-11,-60,56
134,6,-1
-17,-14,-91
-105,-9,-7
-2,-56,61
131,8,14
-12,-9,-85
-84,-27,-12
-3,-56,63
114,-5,2
-17,-13,-79
-95,-29,4
0,-48,54
110,12,-2
-3,-7,-88
-92,-36,-2
-2,-47,73
141,-30,7
-5,10,-72
-98,-13,-27
-11,-44,56
106,-8,27
-2,34,-78
-82,-19,-31
-28,-38,48
91,-19,53
45,-12,-88
-89,-14,-34
-50,-35,42
84,-23,52
73,27,-67
-71,-9,-52
-86,-38,28
55,-33,73
111,20,-41
-43,-14,-66
-95,-22,7
20,-48,68
121,9,-31
-24,-21,-72
-101,-9,-3
-16,-42,64
133,-21,13
0,0,-77
-77,-5,-26
-50,-37,44
62,-30,63
88,21,-59
-45,6,-62
-82,-17,5
4,-64,74
133,-27,5
-10,-43,-87
-93,-1,-9
-50,-29,65
92,-30,51
57,1,-98
-90,8,-43
-55,-23,39
91,-16,56
79,2,-87
-91,-9,-34
-69,-39,42
80,20,79
60,-4,-78
-80,-20,-41
-51,-45,44
85,-15,73
62,18,-80
-82,-13,-41
-57,-47,46
81,-13,55
60,-5,-86
-71,-5,-33
-69,-37,39
75,-19,58
80,19,-79
-74,-11,-36
-69,-42,40
114,-29,37
44,-9,-112
-98,0,-20
-40,-34,48
122,-18,31
0,-6,-85
-96,-20,-18
-20,-37,56
119,-41,35
6,-18,-90
-99,-2,-12
-11,-31,76
120,-33,-17
-41,-19,-85
-105,-1,5
26,-54,78
116,24,-53
-58,-13,-69
-88,-21,14
47,-26,75
123,26,-36
-59,-11,-60
-89,-34,35
59,-25,70
110,31,-63
-76,8,-54
-78,-25,25
49,-27,91
93,3,-53
-74,-7,-52
-66,-29,44
66,-18,62
48,19,-77
-83,14,-50
-68,-36,44
89,-23,62
82,0,-90
-102,2,-45
-70,-32,29
62,-33,68
79,16,-65
-83,-10,-58
-57,-46,35
105,-42,45
55,21,-92
-101,-23,-31
-66,-21,43
89,-20,87
68,-5,-83
-74,-1,-42
-58,-25,46
77,-20,63
